"","Assay","time_contrast","estimate","SE","df","t.ratio","p","q"
"1876","SPRED2","week24 - week0",0.113495021645021,0.132105538401563,82,0.859123871854855,0.392776751300144,0.867924301148837
"1877","SPRED2","week52 - week0",0.0216307359307356,0.132105538401563,82,0.163738297367855,0.870340069898642,0.989292669723712
"1878","SPRED2","week52 - week24",-0.0918642857142851,0.132105538401563,82,-0.695385574487001,0.488779714002657,0.877166347541417
"1879","ATP5IF1","week24 - week0",-0.50835909090909,0.542637637952571,82,-0.936829765121311,0.351597149148205,0.865582065676754
"1880","ATP5IF1","week52 - week0",0.0220569264069278,0.542637637952571,82,0.0406476161332099,0.967675629961202,0.989292669723712
"1881","ATP5IF1","week52 - week24",0.530416017316018,0.542637637952571,82,0.977477381254521,0.331207870835349,0.821359378462206
"1882","IL20RB","week24 - week0",-0.137270346320347,0.160789097988119,82,-0.853729189590265,0.395742169646528,0.867924301148837
"1883","IL20RB","week52 - week0",0.0635584415584406,0.160789097988119,82,0.395290740191459,0.693654798166519,0.989292669723712
"1884","IL20RB","week52 - week24",0.200828787878787,0.160789097988119,82,1.24901992978172,0.215211653400335,0.821359378462206
"1885","PNLIP","week24 - week0",-0.0855054112554121,0.34427925212075,82,-0.248360627974824,0.804476328956337,0.97244903805597
"1886","PNLIP","week52 - week0",-0.277073809523812,0.34427925212075,82,-0.804793805659347,0.423265997454169,0.936315691338011
"1887","PNLIP","week52 - week24",-0.1915683982684,0.34427925212075,82,-0.556433177684523,0.579430131480916,0.910484685798641
"1888","SCGB1A1","week24 - week0",-0.0840352813852814,0.16889710456014,82,-0.497553120310351,0.620130683271228,0.94311541414166
"1889","SCGB1A1","week52 - week0",-0.275686580086581,0.16889710456014,82,-1.63227534778973,0.106456091511686,0.655247480533601
"1890","SCGB1A1","week52 - week24",-0.1916512987013,0.16889710456014,82,-1.13472222747938,0.259797859633444,0.821359378462206
"1891","SERPINI1","week24 - week0",-0.421099783549782,0.161129538672717,82,-2.6134238763329,0.010662018501374,0.432404083666836
"1892","SERPINI1","week52 - week0",-0.194604329004329,0.161129538672717,82,-1.20775079856466,0.230615045290243,0.860602741638164
"1893","SERPINI1","week52 - week24",0.226495454545453,0.161129538672717,82,1.40567307776823,0.163598973454588,0.821359378462206
"1894","AGRN","week24 - week0",-0.170180519480521,0.158982415714881,82,-1.07043611531053,0.287563743106443,0.853267848645464
"1895","AGRN","week52 - week0",-0.122820129870131,0.158982415714881,82,-0.772539084387779,0.442016237278255,0.963199561830228
"1896","AGRN","week52 - week24",0.0473603896103894,0.158982415714881,82,0.29789703092275,0.766535228838413,0.954091476599915
"1897","FGF12","week24 - week0",0.0553614718614718,0.194404717065768,82,0.284774323879923,0.776535016457038,0.97244903805597
"1898","FGF12","week52 - week0",0.190927922077921,0.194404717065768,82,0.982115686078387,0.328931740858383,0.916071137979956
"1899","FGF12","week52 - week24",0.13556645021645,0.194404717065768,82,0.697341362198464,0.487561655953454,0.877166347541417
"1900","PSMG3","week24 - week0",-0.112496536796536,0.351884742257227,82,-0.319697114671433,0.750011053251148,0.968106129922017
"1901","PSMG3","week52 - week0",-0.0986216450216437,0.351884742257227,82,-0.280266897589869,0.779978589080312,0.989292669723712
